GRIDCODE,r,b,b,rgb,cls_lvl_1,cls_desc_1,cls_lvl_2,cls_desc_2,cls_lvl_3,cls_desc_3
1100,170,0,0,"rgb(170,0,0,.5,maxColorValue=255),",1000,Urban/Developed,1100,"Developed, High",1100,"Developed, High Intensity"
1200,216,147,130,"rgb(216,147,130,.5,maxColorValue=255),",1000,Urban/Developed,1200,"Developed, Low",1200,"Developed, Low Intensity"
2110,242,238,134,"rgb(242,238,134,.5,maxColorValue=255),",2000,Agriculture,2100,Crop Rotation,2110,Cash Grain
2120,242,238,134,"rgb(242,238,134,.5,maxColorValue=255),",2000,Agriculture,2100,Crop Rotation,2120,Continuous Corn
2130,242,238,134,"rgb(242,238,134,.5,maxColorValue=255),",2000,Agriculture,2100,Crop Rotation,2130,Dairy Rotation
2140,242,238,134,"rgb(242,238,134,.5,maxColorValue=255),",2000,Agriculture,2100,Crop Rotation,2140,Potato/Vegetable
3110,230,226,161,"rgb(230,226,161,.5,maxColorValue=255),",3000,Grassland,3100,Forage Grassland,3110,Hay
3120,230,172,46,"rgb(230,172,46,.5,maxColorValue=255),",3000,Grassland,3100,Forage Grassland,3120,Pasture
3210,230,172,46,"rgb(230,172,46,.5,maxColorValue=255),",3000,Grassland,3200,Idle Grassland,3210,Cool-season Grass
3220,156,114,9,"rgb(156,114,9,.5,maxColorValue=255),",3000,Grassland,3200,Idle Grassland,3220,Warm-season Grass
4110,156,114,9,"rgb(156,114,9,.5,maxColorValue=255),",4000,Forest,4100,Coniferous Forest,4110,Fir
4120,1,100,0,"rgb(1,100,0,.5,maxColorValue=255),",4000,Forest,4100,Coniferous Forest,4120,Pine
4130,1,100,0,"rgb(1,100,0,.5,maxColorValue=255),",4000,Forest,4100,Coniferous Forest,4130,Hemlock Hardwoods
4210,1,100,0,"rgb(1,100,0,.5,maxColorValue=255),",4000,Forest,4200,Broad-leaved Deciduous Forest,4210,Aspen/Paper Birch
4220,106,184,106,"rgb(106,184,106,.5,maxColorValue=255),",4000,Forest,4200,Broad-leaved Deciduous Forest,4220,Red Maple
4230,106,184,106,"rgb(106,184,106,.5,maxColorValue=255),",4000,Forest,4200,Broad-leaved Deciduous Forest,4230,Oak
4240,106,184,106,"rgb(106,184,106,.5,maxColorValue=255),",4000,Forest,4200,Broad-leaved Deciduous Forest,4240,Central Hardwoods
4250,106,184,106,"rgb(106,184,106,.5,maxColorValue=255),",4000,Forest,4200,Broad-leaved Deciduous Forest,4250,Northern Hardwoods
4300,106,184,106,"rgb(106,184,106,.5,maxColorValue=255),",4000,Forest,4300,Mixed Deciduous/Coniferous Forest,4300,Mixed Deciduous Forest
5000,30,152,30,"rgb(30,152,30,.5,maxColorValue=255),",5000,Open Water,5000,Open Water,5000,Open Water
6100,207,235,250,"rgb(207,235,250,.5,maxColorValue=255),",6000,Wetland,6100,Floating Aquatic Herbaceous Vegetation,6100,Floating Aquatic Herbaceous Vegetation
6210,149,237,242,"rgb(149,237,242,.5,maxColorValue=255),",6000,Wetland,6200,Emergent/Wet Meadow ,6210,Cattails
6220,112,163,186,"rgb(112,163,186,.5,maxColorValue=255),",6000,Wetland,6200,Emergent/Wet Meadow ,6220,Reed Canary Grass
6230,112,163,186,"rgb(112,163,186,.5,maxColorValue=255),",6000,Wetland,6200,Emergent/Wet Meadow ,6230,Other Emergent Meadow 
6310,112,163,186,"rgb(112,163,186,.5,maxColorValue=255),",6000,Wetland,6300,Lowland Scrub/shrub,6310,Broad-leaved Deciduous Scrub/Shrub
6320,0,209,220,"rgb(0,209,220,.5,maxColorValue=255),",6000,Wetland,6300,Lowland Scrub/shrub,6320,Broad-leaved Evergreen Scrub/Shrub
6330,0,209,220,"rgb(0,209,220,.5,maxColorValue=255),",6000,Wetland,6300,Lowland Scrub/shrub,6330,Needle-leaved Scrub/Shrub 
6410,0,209,220,"rgb(0,209,220,.5,maxColorValue=255),",6000,Wetland,6400,Forested Wetland,6410,Coniferous Forested Wetland
6420,15,124,130,"rgb(15,124,130,.5,maxColorValue=255),",6000,Wetland,6400,Forested Wetland,6420,Aspen Forested Wetland
6430,15,124,130,"rgb(15,124,130,.5,maxColorValue=255),",6000,Wetland,6400,Forested Wetland,6430,Bottomland Hardwoods 
6440,15,124,130,"rgb(15,124,130,.5,maxColorValue=255),",6000,Wetland,6400,Forested Wetland,6440,Swamp Hardwoods 
6450,15,124,130,"rgb(15,124,130,.5,maxColorValue=255),",6000,Wetland,6400,Forested Wetland,6450,Mixed Deciduous/Coniferous Forested
7000,15,124,130,"rgb(15,124,130,.5,maxColorValue=255),",7000,Barren,7000,Barren,7000,Barren
8000,120,120,120,"rgb(120,120,120,.5,maxColorValue=255),",8000,Shrubland,8000,Shrubland,8000,Shrubland
65535,146,174,47,"rgb(146,174,47,.5,maxColorValue=255),",0,0,0,0,0,0
